ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
178899	Carboxydocella thermautotrophica	nan	58	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella
580340	Thermovirga lienii	Cas60314, DSM 17291	58	Bacteria	Synergistota	Synergistia	Synergistales	Thermovirgaceae	Thermovirga
53342	Caloramator proteoclasticus	nan	55	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator
278994	Thermincola carboxydiphila	nan	55	Bacteria	Bacillota	Clostridia	Eubacteriales	Thermincolaceae	Thermincola
1742923	Thermostilla marina	nan	55	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	Thermostilla
242698	Thermoanaerobacterium aciditolerans	nan	55	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
128945	Nautilia lithotrophica	nan	53	Bacteria	Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Nautilia
715028	Thermoanaerobacterium calidifontis	nan	52,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
267990	Lebetimonas acidiphila	nan	50	Bacteria	Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Lebetimonas
1392640	Rubrobacter calidifluminis	nan	60	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter
1392641	Rubrobacter naiadicus	nan	60	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter
1003997	Alicyclobacillus cellulosilyticus	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
404937	Anoxybacillus thermarum	nan	65	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
85993	Hydrogenophilus hirschii	nan	63	Bacteria	Pseudomonadota	Hydrogenophilia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus
201973	Planifilum fulgidum	nan	62,5	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum
456330	Caldanaerobius fijiensis	nan	61,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobius
196180	Anoxybacillus kamchatkensis	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
265470	Desulfurispora thermophila	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Desulfurispora
273116	Thermoplasma volcanium	GSS1	60	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma
1123352	Tepidimicrobium xylanilyticum	nan	60	Bacteria	Bacillota	Tissierellia	Tissierellales	Tepidimicrobiaceae	Tepidimicrobium
317575	Methylothermus thermalis	nan	58	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylothermus
311460	Anoxybacillus rupiensis	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
265948	Anoxybacillus tepidamans	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
150248	Anoxybacillus pushchinensis	nan	62	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
47490	Thermoanaerobacterium aotearoense	nan	61,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
581036	Anoxybacillus vitaminiphilus	nan	58,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
482825	Meiothermus cateniformans	nan	57,5	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
42448	Anaerobranca horikoshii	nan	57	Bacteria	Bacillota	Clostridia	Eubacteriales	Proteinivoraceae	Anaerobranca
1608465	Natrinema thermophila	nan	50	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema
116090	Caloranaerobacter azorensis	nan	65	Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter
2186	Methanothermococcus thermolithotrophicus	SN-1	65	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus
186116	Geobacillus thermantarcticus	nan	63	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
186116	Parageobacillus thermantarcticus	nan	63	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
933063	Dichotomicrobium thermohalophilum	nan	63	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Dichotomicrobium
294699	Anoxybacillus amylolyticus	nan	61	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
1081799	Thermomarinilinea lacunofontalis	nan	60	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermomarinilinea
1868734	Aeribacillus composti	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Aeribacillus
247480	Anoxybacillus caldiproteolyticus	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
1490051	Anoxybacillus geothermalis	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
296745	Caldalkalibacillus thermarum	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldalkalibacillus
650508	Caldithrix palaeochoryensis	nan	60	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix
568790	Caloramator boliviensis	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator
213806	Deferribacter abyssi	nan	60	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter
53573	Deferribacter thermophilus	nan	60	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter
1677857	Herbivorax saccincola	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio
688066	Kosmotoga arenicorallina	nan	60	Bacteria	Thermotogota	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga
2224	Methanothrix thermoacetophila	CALS-1	60	Archaea	Euryarchaeota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix
498371	Nautilia abyssi	nan	60	Bacteria	Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Nautilia
1229250	Ammoniibacillus agariperforans	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Ammoniibacillus
190967	Desulfotomaculum solfataricum	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfofundulus
287990	Marinitoga hydrogenitolerans	nan	60	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga
301141	Petrotoga halophila	nan	60	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga
665105	Petrotoga japonica	nan	60	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga
46632	Picrophilus oshimae	nan	60	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus
82076	Picrophilus torridus	nan	60	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus
266117	Rubrobacter xylanophilus	DSM 9941	60	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter
35837	Desulfacinum infernum	nan	60	Bacteria	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfacinum
2026184	Meiothermus luteus	nan	60	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
227924	Oceanithermus desulfurans	nan	60	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Oceanithermus
55505	Thermonema rossianum	nan	60	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Thermonemataceae	Thermonema
235932	Geobacillus jurassicus	nan	59	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
69499	Petrotoga mobilis	nan	59	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga
201975	Planifilum fimeticola	nan	59	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum
1495039	Mesoaciditoga lauensis	nan	58,5	Bacteria	Thermotogota	Thermotogae	Mesoaciditogales	Mesoaciditogaceae	Mesoaciditoga
49896	Acetomicrobium flavidum	nan	58	Bacteria	Synergistota	Synergistia	Synergistales	Acetomicrobiaceae	Acetomicrobium
1089553	Thermacetogenium phaeum	PB, DSM 12270	58	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermacetogenium
55779	Moorella glycerini	nan	58	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
94009	Thermicanus aegyptius	nan	57,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales Family X. Incertae Sedis	Thermicanus
720554	Clostridium clariflavum	EBR 45, DSM 19732	57,5	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio
166485	Caminicella sporogenes	nan	57,5	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caminicella
1473580	Defluviitalea phaphyphila	nan	57,5	Bacteria	Bacillota	Clostridia	Eubacteriales	Defluviitaleaceae	Defluviitalea
697197	Methylothermus subterraneus	nan	57,5	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylothermus
1236215	Desulfotomaculum peckii	nan	57,5	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfovectis
58136	Desulfotomaculum thermoacetoxidans	nan	57,5	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfofundulus
891968	Acetomicrobium mobile	DSM 13181	57,5	Bacteria	Synergistota	Synergistia	Synergistales	Acetomicrobiaceae	Acetomicrobium
604332	Meiothermus rufus	nan	57,5	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
307124	Meiothermus timidus	nan	57,5	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Calidithermus
1571185	Marinithermofilum abyssi	nan	57,5	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Marinithermofilum
264732	Moorella thermoacetica	ATCC 39073	57,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
197221	Thermosynechococcus elongatus	BP-1	57	Bacteria	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus
1006576	Defluviitoga tunisiensis	nan	55	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga
192387	Alicyclobacillus sendaiensis	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
252246	Alicyclobacillus vulcanalis	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
562970	Kyrpidia tusciae	T2, DSM 2912	55	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia
360411	Bellilinea caldifistulae	nan	55	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea
129339	Geobacillus uzenensis	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
203540	Bacillus aeolius	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1245521	Bacillus borbori	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1204385	Litorilinea aerophila	nan	55	Bacteria	Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae	Litorilinea
133453	Caldilinea tarbellica	nan	55	Bacteria	Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea
926550	Caldilinea aerophila	STL-6-O1, DSM 14535	55	Bacteria	Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea
1259795	Coprothermobacter platensis	nan	55	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter
