CCUG Number	cond
21003T	Chocolate or 7H10 agar, aerobic, 37°C, 48-72h
20989T	Chocolate agar, CO2, 37°C
20992T	Löwenstein-Jensen medium, aerobic, 37°C, 11-21day.No growth on blood medium
20993T	Blood agar or 7H10 agar, aerobic, 37°C, 48-72h
20994T	NA
20995T	7H10 agar, CO2, 37°C, 3-7 days
20997T	Löwenstein-Jensen slope, aerobic, 37°C, 5-10days
20998T	7H10 agar or Löwenstein-Jensen, 30°C, 48-72h
20999T	Chocolate agar, CO2, 37°C, 48h
21000T	Fast growing|48h on nutrient agar or blood agar at 30-37°C
20962T	Chocolate agar, CO2, 37°C
20834T	NA
20835T	NA
20910T	NA
20742T	Chemolithotrophic growth on carbon monoxide or hydrogen
20560T	Fastidious-blood agar or chocolate agar, anaerobic, 3 days
20536T	Chocolate agar (or blood agar), CO2, microaerophilic or anaerobic, 37°C
20495T	Chocolate (or blood) agar, anaerobic, 37°C
20446 BT	Blood agar, anaerobic, 37°C, 3 days
20333T	NA
20071T	Chocolate agar, anaerobic, 37°C|Very fastidious and slow growth
19800T	Chocolate agar, CO2, 3 days
19802T	BHI agar, aerobic, 37°C
19916T	NA
19917T	NA
19799T	NA
19794T	Blood agar, 37°C, 24h
19558T	Sabouraud-agar
19700T	Chocolate agar, CO2, 37°C
18122T	MRS agar, aerobic, 30°C, 24h
18124T	Sabouraud agar or MRS agar, aerobic, 30°, 72h
19206T	37°C, anaerobe
15526T	Blood agar, CO2, 37°C
19114T	Blood agar, aerobic, 30-37°C
19115 AT	Marine agar or blood agar|25-30°C
19115 BT	NA
15528T	Blood agar, 37°C, aerobic
15529T	TSA, 30°C
19095T	Nutrient agar, aerobic, 28-37°C
19096T	Nutrient agar, aerobic, 30-37°C
15530T	NA
15531T	NA
15532T	Blood agar, CO2, 37°C, anaerobic growth is sparce
19040T	Blood agar, aerobic, 30°C
18920T	Blood or chocolate agar, anaerobic, 37°C24h
18834T	NA
18839T	NA
18818T	Freshly prepared blood agar, microaerobic, 37°C, 5 days
18820T	Blood agar, microaerobic, 37°C, 72h, very fastidious
18757T	NA
18763T	Blood agar, aerobic, 30°C
18764T	NA
18766T	NA
18767T	Blood agar, aerobic, 30°C
18769T	Nutrient agar, aerobic, 30-37°C
18770T	Nutrient agar or blood agar, aerobic, 30°C
18772T	NA
18656T	Blood agar, aerobic, 37°C
18657T	Blood agar, 30°C
18658T	NA
18659T	NA
18431T	NA
18363T	Blood agar, anaerobic, 37°C
18364T	Blood agar, anaerobic, 37°C, 72h
18365T	Blood agar, anaerobic, 37°C|Will grow on blood agar, CO2, 37°C
18366T	NA
18367T	Blood or chocolate agar, anaerobic, 37°C
18307T	Blood or chocolate agar, anaerobic, 37°C, 48-72h
18310T	Chocolate agar, CO2 or anaerobic, 37°C
18164T	Small colonies
18158T	Chocolate agar or blood agar, CO2, 37°C
18123T	NA
18125T	NA
18126T	D-Mannitol, yeast extract, peptone agar, aerobic, 25-30°C, or MRS agar, aerobic, 30°C
18132T	CIP 1 medium, aerobic, 30°C, 24h
18073T	NA
18030T	Chocolate agar, CO2, 37°C
17996T	NA
17976 BT	NA
17977T	Blood agar, aerobic, 37°C
17978T	Blood agar, aerobic, 37°C
17930T	NA
17933T	TSA, aerobic, 30°C
17912T	Glucose-yeast extract, aerobic, 28°C, or Sabouraud agar, aerobic, 30°C, 3-6 days
17913T	Blood agar, CO2, 37°C
17915T	Blood agar, CO2, 37°C
17859T	TSA, aerobic, 30°C, 5 days
17860T	NA
17762T	Chocolate agar or blood agar, anaerobic, some growth (tiny colonies) on 3rd day
17826T	NA
17801T	Incubate at room temperature to 30°C|Aerotolerant
17757T	Blood agar, aerobic, 30-37°C
30873T	Bordet-Gengou medium recommended, 37°C, may grow on Chocolate agar, CO2, 48h
17679T	NA
17697T	NA
17636T	Grows well on blood agar in 24h in anaerobic jar|No growth under aerobic or microaerobic conditions
17639T	Blood agar, anaerobic, 37°C
17394T	NA
17395T	NA
17359T	NA
17378T	FAA agar, anaerobic, 37°C, 2days
17392T	30°C, 48h
17393T	NA
17323 AT	NA
17215T	NA
17206T	Blood agar, CO2, 37°C
16938T	NA
17081T	Very fastidious
16790T	NA
16791T	Chocolate agar, anaerobic, 37°C|Not aerotolerant
16793T	Blood agar, anaerobic, 37°C
16798T	Chocolate agar, anaerobic, 48h
16442T	Chocolate agar, anaerobic, 37°C, 6-8 days
16482T	Blood agar or nutrient agar, 25-30°C
16493T	NA
16446T	Nutrient agar, aerobic, 37°C
15996T	Chocolate agar, anaerobic, 37°C, 72h
16413T	NA
16414T	Legionella medium, CO2, 37°C
16415T	Legionella medium, CO2, 37°C
16417T	Legionella medium, CO2, 37°C
16001T	Marine agar, 26°C
16007T	Marine agar, 30°C
16021T	Marine agar, 26°C
16063T	Blood agar or Marine agar, 26-30°C
16075T	Marine or blood agar, aerobic, 30°C
16090T	Marine agar, 25-28°C
16097T	Marine agar, 15°C
16128T	Marine agar or blood agar, aerobic, 22-30°C, 48h
16147T	Marine agar, 30°C
16300T	Marine agar, 30°C
16315T	Marine agar, 37°C
16394T	Marine agar, 30°C
16398T	Marine or blood agar, aerobic, 26-30°C
20252T	NA
20302T	Blood agar or marine agar, aerobic, 30°C, 48h
20305T	Marin agar, aerobic, 30°C, prefers 3-5% NaCl
16389T	NA
15921T	Chemolithotrophic growth with hydrogen
15941T	Blood agar, anaerobic, 37°C|Fast growing
15942T	NA
15907T	NA
15893T	Blood agar(5% horse, CCUG) or marine agar(McClung), microaerophilic, 25°C, 72h
15815 BT	Blood agar, microaerophilic, 37°C, 48-72h
15836T	Blood agar, aerobic, 30°C
15838T	NA
15841T	Blood agar or nutrient agar, 25°C, anaerobic with light or blood agar, aerobic, 30°C in the dark
15845T	Nutrient agar, aerobic, 30-37°C
15846T	R2A, aerobic, 30°C, 3 days
15714T	Blood agar, aerobic, 30°C
15715T	Nutrient agar or blood agar, 30-37°C, aerobic
15716T	Blood agar, aerobic, 30°C
15717T	Blood agar, aerobic, 37°C
15718T	NA
15721T	NA
15722T	NA
15723T	NA
15599T	NA
15600T	NA
15601T	Nutrient agar, aerobic, 37°C
15604T	NA
15605T	Blood agar, aerobic, 37°C
15606T	Nutrient agar, aerobic, 26°C
15557T	Blood agar, anaerobic, 37°C
15561T	Chocolate or blood agar, CO2, 37°C
15563T	Blood agar, aerobic, 37°C
15564T	BHI agar, CO2, 37°C
15565T	NA
15566T	NA
15419T	Chocolate agar, anaerobic, 37°C
15421T	Blood or chocolate agar, anaerobic, 37°C
15422T	Blood agar, anaerobic, 37°C, 24-48h
15401T	Blood agar, anaerobic, 37°C
15402 AT	Blood agar or chocolate agar, anaerobic, 37°C, 48h
15405T	Blood agar, anaerobic, 37°C, 24-48h
15408T	Blood agar, anaerobic, 37°C
15327T	Nutrient agar, aerobic, 30-37°C
15333T	Nutrient agar, aerobic, 30-37°C
15334T	NA
15657T	Marine Medium or Nutrient agar with 3-6% NaCl, 30-35°C
15938T	NA
14913T	Blood agar, microaerophilic, 37°C
14858T	NA
14832T	Blood agar, aerobic, 30°C|No growth on Drigalski agar
14803 BT	NA
14805T	NA
14804T	NA
14551T	Blood agar, nutrient agar or marine agar, aerobic, 30-37°C
14555T	Nutrient agar or blood agar, aerobic, 37°C
14556T	Blood agar, strict aerobic, 30-37°C
14557T	Blood agar, aerobic, 30°C
14558T	Nutrient agar, aerobic, 30°C
14540T	Blood agar, microaerobic, 37°C
14506T	Blood agar, aerobic, 37°C
14508T	NA
14509T	NA
14510T	Blood agar, aerobic, 30°C
14474T	Marine agar, aerobic, 30°C, grows on most blood agar, 30°C
14475T	Chocolate agar (or blood agar), anaerobic, 37°C, 48h
14476T	Chocolate agar, anaerobic or CO2, 37°C, 24-48h
14481T	NA
14507T	NA
14483T	Nutrient agar, aerobic, 37°C
14272T	Nutrient agar, aerobic, 28°C
14279T	Nutrient agar, aerobic, 26°C
14215T	NA
14218T	Chocolate agar, CO2, 37°C
14182T	Blood agar, aerobic, 37°C
14183T	Blood agar, aerobic, 37°C
14185T	Nutrient agar, 30-37°C
14186T	NA
14187T	Blood agar, aerobic, 30°C
14188T	NA
14189T	Chocolate agar, CO2, 37°C or blood agar, aerobic, 30°C
14190T	Nutrient agar|26°C
14169T	Blood agar, microaerophilic, 37°C
13724T	Nutrient agar, chemolithotrophic growth with hydrogen, 28°C
13726T	Blood agar, aerobic, 37°C
13793T	Spirillum medium, aerobic, 30°C
13794T	NA
13795T	TSA or blood agar, aerobic, 30°C
13799T	NA
13788T	NA
13622T	Marine agar or blood agar, aerobic, 37°C
13624T	Marine agar or blood agar, aerobic, 30-37°C
13463T	Chocolate agar, CO2, 37°C
13445T	NA
13448T	Marine agar, aerobic, 37°C
13450T	Marine agar, aerobic, 26°C
13452 DT	Nutrient agar, aerobic, 30-37°C
13453T	NA
13398T	Legionella medium, CO2, 37°, 48h
13226T	Nutrient agar (or blood agar), aerobic, 28-37°C
13224T	Blood agar, aerobic, 30-37°C
13227T	Blood agar, CO2, 37°C
13228T	NA
13229T	Blood or chocolate agar, CO2, 37°C
13230T	NA
13625T	Marine agar, aerobic, 30°C, 24h
13626T	Blood agar or marine agar, aerobic, 25°C
14345T	Blood agar, anaerobic, 37°C, 24h
14453T	22°C
14830T	Blood agar, aerobic, 30°C
13144T	Blood agar, microaerobic, 37°C
13145T	Anaerobic
13146T	Blood agar, microaerophilic (or anaerobic), 37°C
13008 AT	NA
12834T	NA
12835T	Chocolate agar, CO2, 37°C, 48h
12836T	Chocolate agar, CO2, 37°C
12804T	NA
12808T	Nutrient agar, aerobic, 25-30°C
12809T	TGE-medium, 30°C, 24-48h
12810T	NA
12701T	NA
12690T	Nutrient agar, aerobic, 30-37°C
12691T	Nutrient agar, aerobic, 37°C
12692T	NA
12568T	NA
12536T	TGE, aerobic, 22-30°C
12538T	TSA, aerobic, 22-42°C
12539T	TSA, aerobic, 30-37°C, 24h
12540T	NA
12507T	Blood agar, aerobic, 30°C
12425T	NA
12369T	NA
12373T	NA
12163T	NA
12391T	Nutrient agar, CO2, 37°C
12392T	NA
12395T	NA
12400T	Blood agar, CO2, 37°C
12372 BbT	NA
12267T	NA
12370T	Blood agar, aerobic, 37°C
12371T	NA
12396T	NA
12397T	NA
12398T	NA
12833T	NA
11877T	Blood agar, aerobic, CO2, 37°C
11779T	Nutrient agar, aerobic, 30-37°C
29362T	NA
11756T	NA
11733T	Chocolate agar, anaerobic, 37°C|Will not grow on blood agar in CO2
11732T	Nutrient agar, aerobic, 37°C
11736T	Nutrient agar, aerobic, 30-37°C
11880T	Standard Legionella medium
11881T	NA
11882T	NA
10976T	NA
10978T	NA
11283T	Blood agar, microaerophilic.There may be growth on blood agar, CO2, 37°C
11284T	Microaerobic, 37-42°C
11289T	Blood agar, microaerophilic, 37°C, 48-72h|Growth at 42°C is sparce
11291T	ATCC medium 44|30°C
11293T	Nutrient agar, aerobic, 30-37°C
11256T	NA
10981T	NA
10787T	Chocolate agar, CO2, 37°C
10786T	NA
10774T	Blood agar, anaerobic, 37°C
11104T	NA
11105T	NA
11106T	NA
11110T	Yeast malt extract agar, aerobic, 26°C
11112T	NA
11113T	NA
11122T	NA
11292T	NA
11294T	Nutrient agar, aerobic, 30-37°C
11624T	Chocolate agar, CO2, 37°C
11627T	Nutrient agar, aerobic, 37°C
11628T	Blood agar, CO2, 37°C
10374T	Microaerobic incubation at 30°C in CO2 optimal|Aerotolerant
10098T	NA
10109T	Nutrient agar, aerobic, 37-42°C
10073T	NA
10075T	Chocolate agar, CO2, 37°C
9995T	Blood agar, aerobic, 37°C
9996T	Blood agar, anaerobic, 37°C
9988T	Blood agar, anaerobic, 37°C
9989T	Blood agar, anaerobic, 37°C
9990T	Blood agar or chocolate agar, anaerobic, 37°C|No growth on blood agar, CO2
10974T	NA
9728T	Blood agar, microaerobic, 37°C, 48h, no growth in CO2
9714T	Chocolate agar, CO2 or microaerophilic, 37°C, 48h
9708T	Incubate at 22-30°C
9557T	Blood agar, anaerobic, 37°C, 24-48h
9558T	Blood agar, anaerobic, 48h
9559T	Chocolate agar, anaerobic, 37°C
9568T	Legionella selective medium, CO2|No growth on blood agar, CO2
9560T	Blood agar or chocolate agar, anaerobic, 48h
9405T	Chocolate agar, aerobic, 33-37°C
9280T	NA
9281T	NA
9282T	NA
9284T	Blood agar, anaerobic, 37°C, 24h|Strictly anaerobic
9285T	Nutrient agar, aerobic, 26-30°C
9286T	Nutrient agar, aerobic, 37°C
9288T	TSA or BHI-agar, aerobic, 50°C|Blood agar unsuitable|Very sparce growth at 37°C
9715T	Chocolate agar, CO2 or microaerophilic, 37°C, 48h
9716T	Chocolate agar, CO2 or microaerophilic, 37°
9118 !T	NA
9126T	Blood agar or chocolate agar, anaerobic, 37°C, 48h
8415 AT	NA
8241T	Nutrient agar, aerobic, 30-37°C
7980T	NA
7983T	NA
7830T	ATCC medium 543|30°C|Anaerobic under a tungsten lamp
7832T	Blood agar, aerobic, 30-37°C|Bordet-Gengou-medium is not needed
7833T	TSA agar, aerobic, 30°C
7972T	NA
7984T	Blood agar, aerobic, 37°C
7834T	Blood agar, anaerobic, 37°C, 3 days
7835T	Blood agar, anaerobic, 37°C|Fast growing
7490T	NA
7967T	Potatoe-carrot-medium or thermoactinomyces medium, aerobic, 50°C|A strain difficult to revive
7426T	NA
7429T	NA
7412T	TGE or blood agar, aerobic, 30-37°C
7413T	Blood agar, aerobic, 37°C
7414T	30-37°C|Nutrient agar
7419T	Blood agar, aerobic, 30°C
7420T	NA
7319T	Blood agar, anaerobic, 37°C, 48-72h
7323T	Nutrient agar, aerobic, 37°C
7320T	NA
7321T	NA
7322T	Blood agar, aerobic, 37°C
7324T	Nutrient agar, aerobic, 37°C
7325T	Blood agar, aerobic, 37°C
7326T	Blood agar, aerobic, 37°C
7327 AT	Blood agar, aerobic, 37°C
7417T	Horse blood agar, aerobic or anaerobic, 37°C
7418T	NA
7422T	Nutrient agar, 37°C
7423T	Blood agar, aerobic, 37°C
7424T	NA
7425T	Blood agar or TGE agar, aerobic, 30°C with one drop of KOH|No growth at neutral or acid pH
7431T	Nutrient agar, aerobic, 30°C
6822T	Blood agar, microaerophilic, 37°C|H2 atmosphere may be superior to N2, 37°C
6823 AT	Blood agar, microaerobic, 37°C
7416T	BHI agar, aerobic (or anaerobic), 30-37°C
7421T	NA
7428T	Nutrient agar, aerobic, 30-37°C
6508 AT	Chocolate agar, CO2, 37°C
6509T	NA
6516T	NA
6518T	NA
6519T	Blood agar, CO2, 37°C
6520T	NA
9125T	NA
5855T	Blood agar, aerobic, 30-37°C
6415T	Chocolate agar, CO2, 37°C
6463T	Blood agar, aerobic, 37°C
6322T	Blood agar, aerobic, 30°C
6323T	Nutrient agar, aerobic, 26-37°C
6325T	Nutrient agar, aerobic, 30-37°C
6328T	NA
5914T	Chocolate agar, anaerobic, 37°C
5866T	Nutrient agar, aerobic, 37°C
5913T	BHI-agar (or TSA), aerobic, 50°C|Nutrient agar or blood agar have not been found suitable
5917T	30°C, MRS(NCFB) or 37°C, Tomato juice, yeast extract milk(ATCC)
5856T	Blood agar, anaerobic, 37°C
5858T	Nutrient agar, aerobic, 30°C, 48h
5118T	NA
5123T	Chocolate agar, anaerobic, 37°C, 48-72h|Fastidious
4979T	NA
4982T	Blood agar, aerobic, 22°C, 48h
4983T	Blood agar, CO2, 37°C
4989T	NA
4938T	Blood agar, anaerobic, 37°C
4939T	Blood agar, anaerobic or CO2, 37°C
4940T	Blood agar, anaerobic, 37°C
4941T	Chocolate agar, anaerobic, 37°C
4942T	Chocolate agar (or blood agar), anaerobic, 37°C|No growth on blood agar, CO2
4943T	Chocolate agar or blood agar, anaerobic, 37°C|Strict anaerobic
4944 BT	Blood agar, anaerobic, 37°C
4949T	Chocolate agar, anaerobic, 37°C
4950T	Chocolate agar, CO2, 35°C
9994T	Chocolate agar, anaerobic, 37°C, 72h, lyophilization is difficult, exposure to oxygen may be the cause
4859T	NA
4853T	NA
4854T	Reinforced Clostridial medium (Oxoid CM149), anaerobic, 37°C
4855T	Blood agar, anaerobic, 37°C|Easily grown
4856T	Blood agar, anaerobic, 37°C
4858T	Easily grown.Blood agar, anaerobic, 18h
4860T	Nutrient agar, aerobic, 37°C
5853T	NA
4438T	Chocolate medium, microaerobic, 33°C, 48hours
4439T	NA
4441T	Milieu de Loeffler, 30°C(CIP, 1975)|Chocolate agar or Bordet-Gengou agar, 33°C(CCUG)
4311T	Blood agar, CO2, 37(30-42)°C, 48h, No growth at 22°C
4312T	Nutrient agar, aerobic, 26°(22-30)C
4319T	Blood agar, aerobic, 37°C
4217T	Blood agar, anaerobic, 37°C
4219T	Blood agar, anaerobic, 37°C|Good growth on blood agar, aerobic, 37°C, but inferior to anaerobic growth
4220T	Blood agar, anaerobic, 37°C
4224T	NA
4007T	Blood agar or nutrient agar, aerobic, 30-42°C
3710T	Blood or chocolate agar, CO2, 37°C
3713T	NA
3716T	Chocolate agar, CO2, 37°C
3718T	NA
3706T	NA
3712T	NA
3714T	NA
3715T	Blood agar, CO2, 37°C
4207T	NA
4208T	Blood agar, aerobic or CO2, 37°C
3717T	Chocolate agar, CO2 or anaerobic, 37°C
3354T	Nutrient agar, aerobic, 37°C
3318T	Nutrient agar, aerobic, 30-37°C
3269T	Chocolate agar or blood agar, CO2, 37°C
2856T	NA
2705T	Blood agar, CO2, 37°C
2708T	Blood agar, CO2, 37°C
2711T	NA
2806T	Blood agar, CO2, 37°C
2469T	Chocolate agar, 37°C, CO2 or anaerobic, 3-4 days|Very fastidious
2341T	NA
2345 AT	Marine agar, aerobic, 30°C
2185T	NA
2130 AT	Blood agar, CO2, 37°C
2132T	NA
2133T	Chocolate agar, CO2, 37°C
2154T	NA
2155T	NA
2156T	Blood agar, CO2, 37°C
2238T	NA
2344T	Blood agar, aerobic, RT-26°C
12534 CT	Chocolate or TSA agar, aerobic, 20°C
2113T	Nutrient agar, 30°C
2114T	ATCC medium 179 recommended, but will grow on nutrient agar in 48h|30°C
2086T	NA
2078T	Blood agar, aerobic, 30°C
2079T	Casitone phosphate agar, 30°C
2081T	NA
2084T	Nutrient agar with 1% methanol, or Sabouraud agar, aerobic, 30°C
2087T	NA
2092T	Spirillum or nutrient agar (medium formulation and temperature is important for recovery), aerobic or microaerobic, 25-33°C
2473T	Nutrient agar, aerobic, 22-42°C
2491T	NA
2870T	R2A (or TGE agar), aerobic, (RT-)30°C, 2-3 days
2873T	NA
3365T	TSA, aerobic, 30°C
3368T	Nutrient agar, aerobic, 28-37°C
2043T	NA
1814T	NA
1815T	NA
1816T	Nutrient agar, aerobic, 30-37°C
1817T	TGE agar, aerobic, 30-42°C
1823T	Nutrient agar, aerobic, 28°C
1825T	NA
1794T	Blood agar, anerobic, 37°C, 2-3 days
1795T	Blood agar, anaerobic, 37°C|No aerobic growth on blood agar, 37°C
1800T	NA
2041T	NA
2042T	NA
1777T	Blood agar or R2A, aerobic, 30°C
1779T	NA
1780T	NA
1781T	Nutrient agar, aerobic, 30-37°C
1782T	Nutrient agar, aerobic, 28-37°C
1638T	NA
1647T	Nutrient agar, aerobic, 30-37°C
1658T	NA
1465 AT	Blood agar, CO2, 37°C
2138T	NA
2139T	Blood agar, CO2, 37°C, may grow on nutrient agar
2032T	NA
1426T	NA
1427T	NA
1429T	NA
1424T	Blood agar, aerobic, 30°C
1425 AT	Nutrient agar, aerobic, 30-37°C
1253T	Nutrient agar, 28-30°C, aerobic
1332T	NA
1187T	NA
888T	NA
889T	NA
892T	NA
808T	NA
757T	NA
724T	Nutrient agar, aerobic, 30-37°C
552 BT	Blood agar, aerobic, 30-37°C, 24h
712T	Nutrient agar, aerobic, 28°C
998T	NA
581T	NA
551T	NA
556T	NA
558T	Nutrient agar, aerobic, 30-37°C
560T	Nutrient agar, aerobic, 28°C
539T	NA
542T	NA
541T	NA
538T	NA
407T	NA
408T	NA
413T	BHI agar or blood agar, aerobic, 37°C
417T	NA
350T	NA
351T	NA
353T	NA
354T	NA
355T	Chocolate agar, CO2, 37°C
345T	NA
348T	Chocolate agar, CO2, 37°C
352T	Chocolate agar, CO2, 37°C
410T	Nutrient agar, aerobic, 37°C
418T	Nutrient agar, aerobic, 37°C
213T	NA
214T	NA
219T	Blood agar, aerobic, 37°C
221T	NA
225T	Blood agar, aerobic, 37°C
24T	Nutrient agar (or blood agar), aerobic, 30-37°C
163 BT	NA
