ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
290513	GCA_015482715.1	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Prosthecochloris
290513	GCA_026193455.1	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Prosthecochloris
314265	GCA_000153725.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger
316284	GCA_001704275.1	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces
335284	GCA_000013905.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter
339860	GCA_000012545.1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
340145	GCA_025234645.1	Bacteria	Bacillota	Bacilli	Bacillales		Exiguobacterium
344616	GCA_003351105.1	Bacteria	Thermotogota	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho
348610	GCF_028912405.1	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanogenium
348610	GCA_028912405.1	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanogenium
391624	GCA_000172095.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Sulfitobacter
405559	GCA_900156835.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus
411479	GCA_000154205.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
464988	GCF_000018645.1	Eukaryota		Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Hemiselmis
470146	GCA_025149785.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus
498388	GCA_002079225.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
560819	GCA_900177295.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodovibrionaceae	Tistlia
585503	GCA_000160555.1	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas
614083	GCA_000498435.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
643674	GCF_014635265.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes
768065	GCA_000237865.1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum
796385	GCA_001027005.1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
862422	GCA_000767215.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Actinotalea
931529	GCF_002812985.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
946077	GCA_000260835.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Imtechella
947010	GCF_029478095.1	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Pelotomaculum
947969	GCA_000767175.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas
990268	GCA_003263775.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
1000565	GCA_000214035.3	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis
1005941	GCA_000342445.1	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus
1033732	GCA_025145645.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
1051502	GCA_000245315.1	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1053692	GCA_000220645.1	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
1056820	GCA_000379165.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Teredinibacter
1095767	GCA_000312005.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas
1105144	GCA_028994775.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Promicromonospora
1105144	GCA_028994805.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Promicromonospora
1121098	GCF_000382445.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
1121386	GCA_013303165.1	Bacteria	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter
1122992	GCA_000430565.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella
1122992	GCA_000455445.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella
1149865	GCA_000258495.1	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
1150674	GCA_000513855.1	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
1173684	GCA_000316285.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1178541	GCA_003097715.1	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
1185654	GCA_000275605.1	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
1188249	GCA_003034985.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cereibacter
1207063	GCA_000299935.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Oceanibaculum
1214066	GCA_000320505.2	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
1219032	GCF_006740045.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
1231190	GCA_000300515.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor
1263865	GCA_000495915.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas
1300346	GCA_001447995.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter
1300349	GCA_001677335.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
