ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
4932	CECT 11663	Saccharomyces cerevisiae	Esteve VDWQ20	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11665	Saccharomyces cerevisiae	Esteve VDWQ22	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11668	Saccharomyces cerevisiae	Esteve VDWQ25	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11670	Saccharomyces cerevisiae	Esteve VDWQ27	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11673	Saccharomyces cerevisiae	Esteve Esp2	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4931	CECT 11674	Saccharomyces bayanus	Esteve Esp3	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11756	Saccharomyces cerevisiae	GB 31	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11757	Saccharomyces cerevisiae	GB 49	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11758	Saccharomyces cerevisiae	GB alpha-79	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11759	Saccharomyces cerevisiae	GB Beta-1	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11760	Saccharomyces cerevisiae	GB Beta-4	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11761	Saccharomyces cerevisiae	GB 43	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
