CCUG Number	Strain	Source	Depositor	Deposit Date
27420T	Actinotignum schaalii	Human blood, chronic pyelonephritis, 64-yr-old man	PHL, Kristianstad, Sweden	1990-11-05
27413T	Bacillus smithii	Cheese	L.K.Nakamura, NRRL, Peoria, USA	1990-11-02
27414T	Paenibacillus lautus		L.K.Nakamura, NRRL, Peoria, USA	1990-11-02
27415T	Paenibacillus pabuli		L.K.Nakamura, NRRL, Peoria, USA	1990-11-02
27296T	Streptococcus acidominimus	Bovine vagina	B.Phillips, NCFB, Reading, UK	1990-10-15
27297T	Streptococcus alactolyticus	Pig intestine	B.Phillips, NCFB, Reading, UK	1990-10-15
27298T	Streptococcus anginosus ss anginosus		B.Phillips, NCFB, Reading, UK	1990-10-15
27299T	Enterococcus cecorum	Chicken caecum	B.A.Phillips, NCFB, Shinfield, Reading, UK	1990-10-15
27300T	Streptococcus criceti	Hamster caries lesion	B.Phillips, NCFB, Reading, UK	1990-10-15
27301T	Streptococcus dysgalactiae subsp. dysgalactiae	Cow, experimental infection	B.Phillips, NCFB, Reading, UK	1990-10-15
27302T	Streptococcus equinus		B.Phillips, NCFB, Reading, UK	1990-10-15
27303T	Streptococcus iniae	Amazon freshwater dolphin lesion	B.Phillips, NCFB, Reading, UK	1990-10-15
27290T	Sphingomonas adhaesiva	Water, 'sterile water' used before surgery	T.Nakase, JCM, RIKEN, Saitama, Japan	1990-10-12
27291T	Sphingomonas parapaucimobilis	Urine	T.Nakase, JCM, RIKEN, Saitama, Japan	1990-10-12
27294T	Actinomyces graevenitzii	Human bronchus brush, 57-yr-old woman	Research & Devel., PHLS, Göteborg, Sweden	1990-10-12
27201T	Lactobacillus amylovorus	Cattle waste-corn fermentation	D.Claus, DSM, Braunschweig, Germany	1990-09-20
27187T	Actinobacillus seminis	Sheep semen	NCTC, London, UK	1990-09-19
27188T	Pasteurella lymphangitidis	Bovine lymph gland, bovine lymphangitis (BL)	NCTC, London, UK	1990-09-19
27189T	Pasteurella mairii	Porcine foetus	NCTC, London, UK	1990-09-19
27190T	Bieberiella trehalosi	Lamb, septicaemia	NCTC, London, UK	1990-09-19
27191T	Staphylococcus intermedius	Pigeon nares	NCTC, London, UK	1990-09-19
27192T	Corynebacterium jeikeium	Human blood	NCTC, London, UK	1990-09-19
27193T	Corynebacterium pilosum	Cow	NCTC, London, UK	1990-09-19
27126T	Enterobacter hormaechei	Human blood	ATCC, Rockville, USA	1990-09-18
27119T	Leuconostoc falkenbergense	Lactic culture, (Flora Danica)	Anonymous, Sweden	1990-09-07
27074T	Deinococcus radiodurans	Irradiated ground pork and beef	D.Claus, DSM, Braunschweig, Germany	1990-08-28
26883T	Moraxella canis	Human wound, dog bite	M.Vaneechoutte, Gent, Belgium	1990-06-27
26876T	Neisseria gonorrhoeae		Y.Cerisier, CIP, Paris, France	1990-06-26
26877T	Neisseria mucosa	Human sputum, chronic bronchitis	Y.Cerisier, CIP, Paris, France	1990-06-26
26751T	Phenylobacterium haematophilum	Human blood, 22-yr-old woman	Blood Dept., PHL, Göteborg, Sweden	1990-05-22
26767T	Proteus mirabilis		B.Holmes, NCTC, London, UK	1990-05-20
26769T	Raoultella ornithinolytica	Human urine	B.Holmes, NCTC, London, UK	1990-05-20
26678T	Bacillus mycoides	Soil	DSM, Braunschweig, Germany	1990-05-08
26647T	Azorhizobium caulinodans	Sesbania rostrata, stem nodules	D.Janssens, LMG, Gent, Belgium	1990-04-30
26625 BT	Raoultella ornithinolytica	Human urine	T.Nakase, JCM, RIKEN, Saitama, Japan	1990-04-27
26493T	Acinetobacter bereziniae	Human wound	J.Ursing, PHL, MAS, Malmö, Sweden	1990-04-09
26456T	Gallibacterium anatis	Duck intestine	R.Mutters, Marburg, Germany	1990-04-02
26390T	Acinetobacter variabilis	Human urine	J.Ursing, PHL, MAS, Malmö, Sweden	1990-03-26
26359T	Pantoea stewartii subsp. stewartii	Zea mays var. rugosa	K.Kersters, LMG, Gent, Belgium	1990-03-20
26329T	Yersinia bercovieri	Human feces	Y.Cerisier, CIP, Paris, France	1990-03-16
26331T	Yersinia mollaretii	Soil	Y.Cerisier, CIP, Paris, France	1990-03-16
26241T	Geobacillus stearothermophilus		DSM, Braunschweig, Germany	1990-02-20
26015T	Bacillus pumilus		D.Janssens, LMG, Gent, Belgium	1990-01-17
26016T	Bacillus pumilus		D.Janssens, LMG, Gent, Belgium	1990-01-17
26017T	Hydrogenibacillus schlegelii	Eutrophic, holomictic lake, mud surface	D.Janssens, LMG, Gent, Belgium	1990-01-17
25939T	Aeromonas caviae	Epizootic of young guinea-pig	D.Janssens, LMG, Gent, Belgium	1990-01-03
25942T	Aeromonas eucrenophila	Freshwater fish, carp	D.Janssens, LMG, Gent, Belgium	1990-01-03
25927T	Simonsiella crassa	Sheep saliva	R.J.Owen, NCTC, London, UK	1989-12-29
25928T	Porphyromonas gingivalis	Human gingival sulcus	R.J.Owen, NCTC, London, UK	1989-12-29
25893T	Porphyromonas gingivalis	Human gingival sulcus	ATCC, Rockville, USA	1989-12-22
25894T	Lelliottia nimipressuralis	Elm, Ulmus sp.	ATCC, Rockville, USA	1989-12-22
25714T	Enterobacter asburiae	Lochia exudate	NCTC, London, UK	1989-11-24
25715T	Helicobacter mustelae	Ferret gastric mucosa	R.J.Owen, NCTC, London, UK	1989-11-24
25716T	Haemophilus aegyptius	Human conjunctiva	NCTC, London, UK	1989-11-24
25735T	Streptococcus sobrinus	Human dental plaque	M.Kocur, CCM, Brno, Czechoslovakia	1989-11-21
25608T	Streptococcus gordonii	Human blood, subacute endocarditis	M.Kilian, Århus, Denmark	1989-11-17
25588T	Enterobacter asburiae		F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-10-31
25589T	Enterobacter taylorae	Human arm wound	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-10-31
25348T	Staphylococcus lugdunensis	Human axillary lymph node	J.Fleurette, Lyon, France	1989-10-12
25351T	Staphylococcus schleiferi	Jugular catheter	J.Fleurette, Lyon, France	1989-10-12
25230T	Enterobacter cloacae subsp dissolvens	Zea mays	D.Janssens, LMG, Gent, Belgium	1989-09-18
25231T	Enterobacter cancerogenus	Populus canadensis	D.Janssens, LMG, Gent, Belgium	1989-09-18
25232T	Pantoea dispersa	Soil	D.Janssens, LMG, Gent, Belgium	1989-09-18
25036T	Luteibacter anthropi	Human blood, central venous catheter, 3-yr-old boy	Blood Dept., PHL, Göteborg, Sweden	1989-08-11
24889T	Streptococcus constellatus subsp. constellatus	Probably from case of purulent pleurisy	R.Hill, NCTC, London, UK	1989-07-04
24890T	Streptococcus downei	Monkey dental plaque	R.Hill, NCTC, London, UK	1989-07-04
24891T	Streptococcus oralis	Human mouth	R.Hill, NCTC, London, UK	1989-07-04
24893T	Streptococcus vestibularis	Human oral cavity, vestibular mucosa	R.Hill, NCTC, London, UK	1989-07-04
24851T	Actinobacillus rossii	Sow, vaginal discharge	R.Mutters, Marburg, Germany	1989-06-28
24852T	Conservatibacter flavescens	Guinea pig, throat (Cavia porcellus)	R.Mutters, Marburg, Germany	1989-06-28
24862T	Actinobacillus arthritidis	Horse joint	R.Mutters, Marburg, Germany	1989-06-28
24742T	Capnocytophaga cynodegmi	Dog mouth	R.Mutters, Marburg, Germany	1989-05-24
24716T	Falcivibrio vaginalis	Human vagina, vaginitis	DSM, Braunschweig, Germany	1989-05-19
24694T	Ochrobactrum intermedium	Human blood	K.Kersters, LMG, Gent, Belgium	1989-05-18
24695T	Ochrobactrum anthropi	Source unknown	K.Kersters, LMG, Gent, Belgium	1989-05-18
24605T	Bifidobacterium angulatum	Intestine of adult	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-05-02
24606T	Bifidobacterium animalis	Rat feces	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-05-02
24607T	Bifidobacterium asteroides	Hindgut of honeybee	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-05-02
24608T	Bifidobacterium boum	Bovine rumen	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-05-02
24609T	Bifidobacterium choerinum	Swine feces	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-05-02
24610T	Bifidobacterium cuniculi	Rabbit feces	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1989-05-02
24564T	Herbaspirillum seropedicae	Roots	K.Kersters, LMG, Gent, Belgium	1989-04-26
24567T	Campylobacter jejuni subsp. doylei	Human feces, 2-yr-old child	P.Vandamme, LMG, Gent, Belgium	1989-04-26
24229T	Pityrosporum ovale		J.Faergemann, Derm.Clin., SS, Göteborg, Sweden	1989-04-07
24193 #T	Campylobacter suis	Pig gastric mucosa	P.Vandamme, LMG, Gent, Belgium	1989-03-24
24194T	Anaerobiospirillum succiniciproducens	Dog throat	P.Vandamme, LMG, Gent, Belgium	1989-03-24
24087T	Cellulomonas fimi	Soil	M.-L.Suihko, VTT, Espoo, Finland	1989-03-08
24088T	Cellulomonas uda	Sugarcane field	M.-L.Suihko, VTT, Espoo, Finland	1989-03-08
24033T	Clostridium barati	Canine renal epithelioma	DSM, Braunschweig, Germany	1989-03-02
24035T	Clostridium cadaveris		DSM, Braunschweig, Germany	1989-03-02
24037T	Hathewaya limosa	Mud	DSM, Braunschweig, Germany	1989-03-02
24038T	Clostridium ramosum		DSM, Braunschweig, Germany	1989-03-02
24039T	Bifidobacterium angulatum	Intestine of adult	DSM, Braunschweig, Germany	1989-03-02
24040T	Staphylococcus saccharolyticus	Plasma	DSM, Braunschweig, Germany	1989-03-02
24041T	Prevotella intermedia	Empyema	DSM, Braunschweig, Germany	1989-03-02
23945T	Haemophilus influenzae	Human sputum	R.J.Owen, NCTC, London, UK	1989-02-07
23947T	Campylobacter lari	Herring gull, Larus argentatus, cloacal swab	R.J.Owen, NCTC, London, UK	1989-02-07
23886T	Arthrobacter crystallopoietes	Soil	D.Janssens, LMG, Gent, Belgium	1989-01-31
23888T	Arthrobacter histidinolovorans	Soil	D.Janssens, LMG, Gent, Belgium	1989-01-31
23889T	Arthrobacter ilicis	Ilex poaca	D.Janssens, LMG, Gent, Belgium	1989-01-31
23893T	Brevibacterium iodinum	Milk	D.Janssens, LMG, Gent, Belgium	1989-01-31
23897T	Rathayibacter iranicus	Triticum aestivum (Aestivum group)	D.Janssens, LMG, Gent, Belgium	1989-01-31
23908 #T	Clavibacter michiganense subsp. sepedonicum	Solanum tuberosum, ringrot	D.Janssens, LMG, Gent, Belgium	1989-01-31
23914T	Rathayibacter tritici	Triticum aestivum (Aestivum Group)	D.Janssens, LMG, Gent, Belgium	1989-01-31
23929T	Neisseria sicca	Human pharyngeal mucosa, healthy individual	D.Janssens, LMG, Gent, Belgium	1989-01-31
23930T	Neisseria subflava	Human throat	D.Janssens, LMG, Gent, Belgium	1989-01-31
23840T	Arthrobacter citreus		M.Kocur, CCM, Brno, Czechoslovakia	1989-01-25
23842T	Arthrobacter nicotianae		M.Kocur, CCM, Brno, Czechoslovakia	1989-01-25
23843T	Arthrobacter pascens		M.Kocur, CCM, Brno, Czechoslovakia	1989-01-25
23845T	Aureobacterium terregens	Soil	M.Kocur, CCM, Brno, Czechoslovakia	1989-01-25
23848T	Curtobacterium luteum	Paddy	M.Kocur, CCM, Brno, Czechoslovakia	1989-01-25
23849T	Microbacterium testaceum	Paddy	M.Kocur, CCM, Brno, Czechoslovakia	1989-01-25
23850T	Terrabacter tumescens	Garden soil	M.Kocur, CCM, Brno, Czech Republic	1989-01-25
12838T	Aggregatibacter segnis	Human dental plaque	R.Mutters, Marburg, Germany	1988-11-22
23603T	Rhodococcus erythropolis	Soil	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1988-11-01
23611T	Nocardioides simplex	Rice soil	M.Ridell, Inst.of Medical Micro., Göteborg, Sweden	1988-11-01
23363 #T	Clavibacter michiganense subsp. michiganense	Lycopersicon lycopersicum	J.M.Young, ICMP, Auckland, New Zeeland	1988-10-20
23365T	Pseudomonas agarici	Mushroom gills, Agaricus brunnescens Peck	J.M.Young, NCPPB, Auckland, New Zealand	1988-10-20
23367T	Pseudomonas corrugata	Lycopersicon esculentum, pith necrosis	J.M.Young, Auckland, New Zealand	1988-10-20
23368T	Burkholderia plantarii	Oryza sativa cv. Koshihikari	J.M.Young, NCPPB, Auckland, New Zealand	1988-10-20
23369T	Pseudomonas tolaasii		J.M.Young, Auckland, New Zealand	1988-10-20
23371 #T	Pseudomonas viridiflava	Dwarf or runner bean	J.M.Young, ICMP, Auckland, New Zeeland	1988-10-20
23372T	Xanthomonas fragariae		J.M.Young, Auckland, New Zealand	1988-10-20
23255T	Streptococcus equi subsp. equi	Origine unknown ?	B.Phillips, NCFB, Reading, UK	1988-10-04
23256T	Streptococcus equi subsp. zooepidemicus	Bovine mastitis	B.Phillips, NCFB, Reading, UK	1988-10-04
23171T	Ornithobacterium rhinotracheale	Turkey, respiratory tract infection	M.Bisgaard, Copenhagen, Denmark	1988-09-15
22894T	Hydrogenophaga flava	Ditch mud	A.Willems, LMG, Gent, Belgium	1988-07-17
15598T	Mammaliicoccus sciuri	Eastern gray squirrel skin	K.H.Schleifer, München, Germany	1988-06-23
22397T	Sphingobacterium thalpophilum	Human wound, swab	NCTC, London, UK	1988-04-19
22400T	Chryseobacterium lactis	Milk bottle rinse	NCTC, London, UK	1988-04-19
22402 #T	Flavobacterium thermophilum	Hot spring	NCTC, London, UK	1988-04-19
22039 #T	Azohydromonas lata	Soil	A.Willems, LMG, Gent, Belgium	1988-02-26
21990T	Rubrivivax gelatinosus		DSM, Braunschweig, Germany	1988-02-15
21975T	Acidovorax cattleyae		A.Willems, LMG, Gent, Belgium	1988-02-10
21976T	Xylophilus ampelinus	Vitis vinifera var. sultana	A.Willems, LMG, Gent, Belgium	1988-02-10
21953T	Lactococcus lactis subsp. cremoris	Cheese starter culture	B.Pot, LMG, Gent, Belgium	1988-02-08
21957T	Streptococcus thermophilus	Pasteurized milk	B.Pot, LMG, Gent, Belgium	1988-02-08
21961T	Lactobacillus jensenii	Human vaginal discharge	B.Pot, LMG, Gent, Belgium	1988-02-08
21965T	Leuconostoc mesenteroides subsp. cremoris	Hansen's dried starter powder	B.Pot, LMG, Gent, Belgium	1988-02-08
21966T	Leuconostoc mesenteroides subsp. dextranicum		B.Pot, LMG, Gent, Belgium	1988-02-08
21927T	Clostridium colinum	Chicken with ulcerative enteritis	JCM, Japan	1988-02-02
21841T	Clostridium subterminale		M.R.Popoff, Institut Pasteur, Paris, France	1988-01-20
21801T	Mycobacterium gordonae	Human gastric lavage	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1988-01-01
21811T	Mycobacterium gordonae	Gastric lavage	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1988-01-01
21815T	Mycobacterium smegmatis	Plant Industry Station	M.Ridell & A.Lind, Univ.of Göteborg, Sweden	1988-01-01
21532T	Lentilactobacillus buchneri	Tomato pulp	CCM, Brno, Czechoslovakia	1987-12-04
21533T	Weissella viridescens	Cured meat products	CCM, Brno, Czechoslovakia	1987-12-04
21558T	Anaerobiospirillum succiniciproducens	Canine throat, beagle	NCTC, London, UK	1987-12-04
21451T	Lacticaseibacillus casei	Cheese	ATCC, Rockville, USA	1987-11-24
21452T	Lacticaseibacillus rhamnosus		ATCC, Rockville, USA	1987-11-24
21370T	Riemerella anatipestifer	Duck blood	A.I.Sommer, Tromsö, Norway	1987-10-27
21054 AT	Odoribacter splanchnicus	Human abdominal abscess	M.Kocur, CCM, Brno, Czechoslovakia	1987-09-08
21055T	Mitsuokella multiacidus	Human feces	M.Kocur, CCM, Brno, Czechoslovakia	1987-09-08
21024T	Schaalia meyeri	Human with purulent pleurisy	ATCC, Rockville, USA	1987-08-31
21025T	Dialister pneumosintes	Human nasal passage abscess	ATCC, Rockville, USA	1987-08-31
21027T	Porphyromonas levii	Bovine rumen	ATCC, Rockville, USA	1987-08-31
21028 AT	Tannerella forsythia	Human periodontal pocket	ATCC, Rockville, USA	1987-08-31
21018T	Mobiluncus curtisii subsp. curtisii	Human vagina	NCTC, London, UK	1987-08-28
21047T	Mycobacterium farcinogenes	Bovine lymph node	M.Ridell & A.Lind, Göteborg, Sweden	1987-08-28
21001T	Mycobacterium senegalense	Bovine lymph node	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-27
21002T	Mycobacterium smegmatis	Plant Industry Station	Univ.of Göteborg, Göteborg, Sweden	1987-08-27
21003T	Mycobacterium vaccae	Bovine milk	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-27
20989T	Gordonia bronchialis	Human sputum, pulmonary lesion, woman	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20992T	Mycobacterium avium subsp. avium	Liver of diseased hen	M.Ridell & A.Lind, Univ.of Göteborg, Sweden	1987-08-25
20993T	Mycobacterium abscessus subsp. abscessus	Source unknown	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20994T	Mycobacterium fortuitum subsp. fortuitum	Human abscess	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20995T	Mycobacterium gastri	Gastric lavage	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20997T	Mycobacterium kansasii	Human fatal case	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20998T	Mycobacterium marinum	Salt water fish	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20999T	Mycobacterium parafortuitum	Soil	M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
21000T	Mycobacterium phlei		M.Ridell & A.Lind, Univ. of Göteborg, Sweden	1987-08-25
20962T	Rothia mucilaginosa	Human pharynx	M.Kocur, CCM, Brno, Czechoslovakia	1987-08-17
20834T	Burkholderia caryophylli	Dianthus caryophyllus	K.Kersters, LMG, Gent, Belgium	1987-07-08
20835T	Burkholderia glumae	Oryza sativa, grain	K.Kersters, LMG, Gent, Belgium	1987-07-08
20910T	Leminorella richardii	Human feces, 7-month-old female, gastroenteritis	ATCC, Rockville, USA	1987-07-01
20742T	Pseudomonas gazotropha	Mud from Moscwa river	K.Kersters, LMG, Gent, Belgium	1987-06-16
20560T	Eubacterium sulci	Human gingival sulcus	G.Sundqvist, Umeå, Sweden	1987-05-04
20536T	Schaalia odontolytica	Dental caries, Deep carious lesions around teeth	NCTC, London, UK	1987-04-21
20495T	Prevotella zoogleoformans	Human oral cavity	DN Love & J Raus, Sydney, Australia	1987-04-18
20446 BT	Campylobacter rectus	Human periodontal pocket	NCTC, London, UK	1987-04-01
20333T	Herbaspirillum huttiense	Water, distilled	K.Kersters, LMG, Gent, Belgium	1987-03-05
20071T	Mobiluncus mulieris	Human vagina	NCTC, London, UK	1987-02-03
19800T	Actinobacillus hominis		R.Mutters, HIM, Marburg, Germany	1987-01-13
19802T	Pasteurella testudinis	Desert tortoise nares;Gopherus agassizi	R.Mutters, Marburg, Germany	1987-01-13
19916T	Enterococcus faecalis		DSM, Göttingen, Germany	1987-01-08
19917T	Enterococcus hirae		DSM, Göttingen, Germany	1987-01-08
19799T	Actinobacillus equuli subsp. haemolyticus	Horse	R.Mutters, Marburg, Germany	1986-12-18
19794T	Pasteurella oralis	Human wound, cat bite	R.Mutters, Marburg, Germany	1986-12-17
19558T	Cryptococcus neoformans	Fermenting fruit	Mycological Dept., PHLS, Göteborg, Sweden	1986-12-11
19700T	Francisella philomiragia	Moribund muskrat (Ondatra zibethica)	J.Ursing, PHL, MAS, Malmö, Sweden	1986-12-02
18122T	Acetobacter aceti	Beech-wood shavings of vinegar plant	K.Kersters, LMG, Gent, Belgium	1986-11-26
18124T	Gluconacetobacter liquefaciens	Fruit, dried of persimmon, Diospyros sp.	K.Kersters, LMG, Gent, Belgium	1986-11-26
19206T	Actinobaculum suis	Swine cystitis and pyelonephritis	ATCC, Rockville, USA	1986-09-08
15526T	Listeria monocytogenes	Rabbit	CNCM, Paris, France	1986-08-06
19114T	Vibrio diazotrophicus	Sea urchin gastrointestinal tract	R.Colwell, Maryland, USA	1986-08-06
19115 AT	Vibrio cincinnatiensis	Blood and cerebrospinal fluid	R.Colwell, Maryland, USA	1986-08-06
19115 BT	Vibrio cincinnatiensis	Blood and cerebrospinal fluid	R.Colwell, Maryland, USA	1986-08-06
15528T	Listeria ivanovii subsp. ivanovii	Sheep	CIP, Paris, France	1986-08-05
15529T	Listeria welshimeri	Decaying vegetation	CIP, Paris, France	1986-08-05
19095T	Acinetobacter johnsonii	Duodenum	P.J.M.Bouvet, Institut Pasteur, Paris, France	1986-08-01
19096T	Acinetobacter baumannii	Urine	P.J.M.Bouvet, Paris, France	1986-08-01
15530T	Listeria seeligeri	Soil	CIP, Paris, France	1986-07-30
15531T	Listeria innocua	Bovine brain	CIP, Paris, France	1986-07-30
15532T	Jonesia denitrificans	Boiled ox blood	CIP, Paris, France	1986-07-30
19040T	Vibrio mediterranei	Coastal sediment	M.J.Pujalte, Valencia, Spain	1986-06-30
18920T	Clostridium lituseburense	Mud	DSM, Göttingen, Germany	1986-06-06
18834T	Pediococcus dextrinicus	Silage	M.Kocur, CCM, Brno, Czechoslovakia	1986-05-12
18839T	Pseudomonas cissicola	Leaf spot	M.Kocur, CCM, Brno, Czechoslovakia	1986-05-12
18818T	Helicobacter cinaedi	Human rectal swab, homosexual man	C.L.Fennell, Seattle, USA	1986-05-07
18820T	Helicobacter fennelliae	Human rectal swab, homosexual man	C.L.Fennell, Seattle, USA	1986-05-07
18757T	Pseudomonas lundensis	Bovine meat	A.Ternström, SMRI, Kävlinge, Sweden	1986-04-11
18763T	Cedecea neteri	Human foot	ATCC, Rockville, U.S.A.	1986-04-11
18764T	Edwardsiella ictaluri	Channel catfish	ATCC, Rockville, USA	1986-04-11
18766T	Escherichia fergusonii	Feces, 1-yr-old boy	ATCC, Rockville, USA	1986-04-11
18767T	Kluyvera cryocrescens	Human	ATCC, Rockville, U.S.A.	1986-04-11
18769T	Proteus myxofaciens	Gypsy moth larvae	ATCC, Rockville, USA	1986-04-11
18770T	Yersinia aldovae	Drinking water	ATCC, Rockville, USA	1986-04-11
18772T	Yokenella regensburgei	Human wrist wound	ATCC, Rockville, USA	1986-04-11
18656T	Enterococcus mundtii	Soil	B.A.Phillips, NCDO, Shinfield, Reading, UK	1986-03-07
18657T	Enterococcus casseliflavus	Plant material	B.A.Phillips, NCDO, Shinfield, Reading, UK	1986-03-07
18658T	Enterococcus gallinarum	Chick, intestine of young animal	B.A.Phillips, NCFB, Shinfield, Reading, UK	1986-03-07
18659T	Enterococcus hirae		B.A.Phillips, NCDO, Shinfield, Reading, UK	1986-03-07
18431T	Cellulomonas denverensis	Human blood	R.E.Weaver, CDC, Atlanta, USA	1986-02-07
18363T	Bifidobacterium adolescentis	Intestine of adult	DSM, Göttingen, Germany	1986-01-23
18364T	Bifidobacterium bifidum	Human stool, breast-fed infant	DSM, Göttingen, Germany	1986-01-23
18365T	Bifidobacterium breve	Human intestine, infant	DSM, Göttingen, Germany	1986-01-23
18366T	Bifidobacterium catenulatum	Human intestine, adult	DSM, Göttingen, Germany	1986-01-23
18367T	Bifidobacterium dentium	Dental caries	DSM, Göttingen, Germany	1986-01-23
