ncbiTaxID	Name	Strain	Temp
2148	Acholeplasma laidlawii	nan	37
718	Actinobacillus equuli	nan	37
715	Actinobacillus pleuropneumoniae	nan	37
67854	Actinobacillus succinogenes	nan	37
716	Actinobacillus suis	nan	37
239935	Akkermansia muciniphila	nan	37
214856	Alistipes finegoldii	nan	37
81468	Aminobacterium colombiense	nan	37
28264	Arcanobacterium haemolyticum	nan	37
-1	Atopobium parvulum	nan	37
146939	Azospira oryzae	nan	37
192	Azospirillum brasilense	nan	37
193	Azospirillum lipoferum	nan	37
1392	Bacillus anthracis	nan	37
1396	Bacillus cereus	nan	37
1428	Bacillus thuringiensis	nan	37
-1	Bacteroides dorei	nan	37
817	Bacteroides fragilis	nan	37
290053	Bacteroides helcogenes	nan	37
28116	Bacteroides ovatus	nan	37
818	Bacteroides thetaiotaomicron	nan	37
-1	Bacteroides vulgatus	nan	37
397865	Barnesiella viscericola	nan	37
235	Brucella abortus	nan	37
36855	Brucella canis	nan	37
29459	Brucella melitensis	nan	37
236	Brucella ovis	nan	37
29461	Brucella suis	nan	37
13373	Burkholderia mallei	nan	37
28450	Burkholderia pseudomallei	nan	37
