ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
651	Aeromonas media		25	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
59754	Alcanivorax borkumensis		25	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
668	Aliivibrio fischeri		25	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio
353	Azotobacter chroococcum		25	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
959	Bdellovibrio bacteriovorus		25	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio
533	Beijerinckia indica		25	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckia
232259	Belliella baltica		25	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Belliella
304895	Catenulispora acidiphila		25	Bacteria	Actinomycetota	Actinomycetes	Catenulisporales	Catenulisporaceae	Catenulispora
1096	Chlorobium phaeobacteroides		25	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Chlorobium
1094	Chlorobium phaeovibrioides		25	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Chlorobium
100716	Chloroherpeton thalassium		25	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chloroherpetonaceae	Chloroherpeton
395922	Coraliomargarita akajimensis		25	Bacteria	Verrucomicrobiota	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
241425	Crinalium epipsammum		25	Bacteria	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Gomontiellaceae	Crinalium
2724	Hirschia baltica		25	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hirschia
33964	Leuconostoc citreum		25	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
1244	Leuconostoc gelidum		25	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
1246	Leuconostoc lactis		25	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
1245	Leuconostoc mesenteroides		25	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
119864	Marinomonas mediterranea		25	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas
29405	Microlunatus phosphovorus		25	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Microlunatus
53461	Nakamurella multipartita		25	Bacteria	Actinomycetota	Actinomycetes	Nakamurellales	Nakamurellaceae	Nakamurella
450734	Nocardioides dokdonensis		25	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides
984	Pedobacter heparinus		25	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
85085	Pseudarthrobacter chlorophenolicus		25	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter
43657	Pseudoalteromonas luteoviolacea		25	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
2434	Roseobacter denitrificans		25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseobacter
42443	Roseobacter litoralis		25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseobacter
